drug_name,generic_name,opioid_drug_flag,antibiotic_drug_flag,high_risk_flag,antipsychotic_drug_flag
DAYTRANA,METHYLPHENIDATE,N,N,N,N 
DDAVP,DESMOPRESSIN (NONREFRIGERATED),N,N,N,N 
DDAVP,DESMOPRESSIN ACETATE,N,N,N,N 
DEBLITANE,NORETHINDRONE,N,N,N,N 
DECAVAC,TETANUS AND DIPHTHERIA TOX/PF,N,N,N,N 
DECITABINE,DECITABINE,N,N,N,N 
DEFEROXAMINE MESYLATE,DEFEROXAMINE MESYLATE,N,N,N,N 
DELESTROGEN,ESTRADIOL VALERATE,N,N,N,N 
DELTASONE,PREDNISONE,N,N,N,N 
DELZICOL,MESALAMINE,N,N,N,N 
DEMADEX,TORSEMIDE,N,N,N,N 
DEMECLOCYCLINE HCL,DEMECLOCYCLINE HCL,N,Y,N,N 
DEMEROL,MEPERIDINE HCL,Y,N,Y,N 
DEMEROL,MEPERIDINE HCL/PF,Y,N,Y,N 
DEMSER,METYROSINE,N,N,N,N 
DENAVIR,PENCICLOVIR,N,N,N,N 
DENTA 5000 PLUS,SODIUM FLUORIDE,N,N,N,N 
DENTAGEL,SODIUM FLUORIDE,N,N,N,N 
DEPACON,VALPROIC ACID (AS SODIUM SALT),N,N,N,N 
DEPAKENE,VALPROIC ACID,N,N,N,N 
DEPAKENE,VALPROIC ACID (AS SODIUM SALT),N,N,N,N 
DEPAKOTE,DIVALPROEX SODIUM,N,N,N,N 
DEPAKOTE ER,DIVALPROEX SODIUM,N,N,N,N 
DEPAKOTE SPRINKLE,DIVALPROEX SODIUM,N,N,N,N 
DEPEN,PENICILLAMINE,N,N,N,N 
DEPLIN-ALGAL OIL,LEVOMEFOLATE/ALGAL OIL,N,N,N,N 
DEPO-ESTRADIOL,ESTRADIOL CYPIONATE,N,N,N,N 
DEPO-MEDROL,METHYLPREDNISOLONE ACETATE,N,N,N,N 
DEPO-PROVERA,MEDROXYPROGESTERONE ACETATE,N,N,N,N 
DEPO-SUBQ PROVERA 104,MEDROXYPROGESTERONE ACETATE,N,N,N,N 
DEPO-TESTOSTERONE,TESTOSTERONE CYPIONATE,N,N,N,N 
DERMA-SMOOTHE-FS,FLUOCINOLONE ACETONIDE,N,N,N,N 
DERMA-SMOOTHE-FS,FLUOCINOLONE/SHOWER CAP,N,N,N,N 
DERMACINRX SILAPAK,TRIAMCINOLONE/DIMETH/SILICONE,N,N,N,N 
DERMASILKRX DICLOPAK,DICLOFENAC/CAPSICUM,N,N,N,N 
DERMASILKRX SDS,TRIAMCINOLONE/DIMETH/SILICONE,N,N,N,N 
DERMASORB HC,HYDROCORTISONE/SKIN CLNSR #35,N,N,N,N 
DERMASORB TA,TRIAMCINOLONE/EMOLLIENT CMB#86,N,N,N,N 
DERMATOP,PREDNICARBATE,N,N,N,N 
DERMOTIC,FLUOCINOLONE ACETONIDE OIL,N,N,N,N 
DESFERAL,DEFEROXAMINE MESYLATE,N,N,N,N 
DESFERAL MESYLATE,DEFEROXAMINE MESYLATE,N,N,N,N 
DESIPRAMINE HCL,DESIPRAMINE HCL,N,N,N,N 
DESLORATADINE,DESLORATADINE,N,N,N,N 
DESMOPRESSIN ACETATE,DESMOPRESSIN (NONREFRIGERATED),N,N,N,N 
DESMOPRESSIN ACETATE,DESMOPRESSIN ACETATE,N,N,N,N 
DESOGEN,DESOGESTREL-ETHINYL ESTRADIOL,N,N,N,N 
DESOGESTR-ETH ESTRAD ETH ESTRA,DESOG-E.ESTRADIOL/E.ESTRADIOL,N,N,N,N 
DESOGESTREL-ETHINYL ESTRADIOL,DESOGESTREL-ETHINYL ESTRADIOL,N,N,N,N 
DESONATE,DESONIDE,N,N,N,N 
DESONIDE,DESONIDE,N,N,N,N 
DESOWEN,DESONIDE,N,N,N,N 
DESOXIMETASONE,DESOXIMETASONE,N,N,N,N 
DESOXYN,METHAMPHETAMINE HCL,N,N,N,N 
DESVENLAFAXINE ER,DESVENLAFAXINE,N,N,N,N 
DESVENLAFAXINE FUMARATE ER,DESVENLAFAXINE FUMARATE,N,N,N,N 
DETROL,TOLTERODINE TARTRATE,N,N,N,N 
DETROL LA,TOLTERODINE TARTRATE,N,N,N,N 
DEXAMETHASONE,DEXAMETHASONE,N,N,N,N 
DEXAMETHASONE INTENSOL,DEXAMETHASONE,N,N,N,N 
DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SOD PHOSPHATE,N,N,N,N 
DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSP/PF,N,N,N,N 
DEXEDRINE,DEXTROAMPHETAMINE SULFATE,N,N,N,N 
DEXILANT,DEXLANSOPRAZOLE,N,N,N,N 
DEXMETHYLPHENIDATE HCL,DEXMETHYLPHENIDATE HCL,N,N,N,N 
DEXMETHYLPHENIDATE HCL ER,DEXMETHYLPHENIDATE HCL,N,N,N,N 
DEXPAK,DEXAMETHASONE,N,N,N,N 
DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE SULFATE,N,N,N,N 
DEXTROAMPHETAMINE SULFATE ER,DEXTROAMPHETAMINE SULFATE,N,N,N,N 
DEXTROAMPHETAMINE-AMPHET ER,DEXTROAMPHETAMINE/AMPHETAMINE,N,N,N,N 
DEXTROAMPHETAMINE-AMPHETAMINE,DEXTROAMPHETAMINE/AMPHETAMINE,N,N,N,N 
DEXTROSE 5%-0.2% NACL,DEXTROSE 5 %-0.2 % NACL,N,N,N,N 
DEXTROSE 5%-0.2% NACL-KCL,POTASSIUM CHLORIDE/D5-0.2%NACL,N,N,N,N 
DEXTROSE 5%-0.225% NACL,DEXTROSE 5 %-0.2 % NACL,N,N,N,N 
DEXTROSE 5%-0.225% NACL-KCL,POTASSIUM CHLORIDE/D5-0.2%NACL,N,N,N,N 
DEXTROSE 5%-0.45% NACL,DEXTROSE 5 %-0.45 % NACL,N,N,N,N 
DEXTROSE 5%-0.45% NACL-KCL,POTASSIUM CHLORIDE/D5-0.45NACL,N,N,N,N 
DEXTROSE 5%-0.9% NACL,DEXTROSE 5 % AND 0.9 % NACL,N,N,N,N 
DEXTROSE 5%-1/2NS-KCL,POTASSIUM CHLORIDE/D5-0.45NACL,N,N,N,N 
DEXTROSE 5%-NS-KCL,POTASSIUM CHLORIDE/D5-0.9%NACL,N,N,N,N 
DEXTROSE 5%-POTASSIUM CHLORIDE,POTASSIUM CHLORIDE IN D5W,N,N,N,N 
DEXTROSE IN LACTATED RINGERS,DEXTROSE 5%-LACTATED RINGERS,N,N,N,N 
DEXTROSE IN WATER,DEXTROSE 10 % IN WATER,N,N,N,N 
DEXTROSE IN WATER,DEXTROSE 5 % IN WATER,N,N,N,N 
DEXTROSE IN WATER,DEXTROSE 50 % IN WATER,N,N,N,N 
DEXTROSE IN WATER,DEXTROSE 70 % IN WATER,N,N,N,N 
DIABETA,GLYBURIDE,N,N,Y,N 
DIALYVITE,"FOLIC ACID/VIT BCOMP,C",N,N,N,N 
DIAMOX SEQUELS,ACETAZOLAMIDE,N,N,N,N 
DIANEAL WITH 1.5% DEXTROSE,PERIT. DIALYSIS#6 & DEX 1.5 %,N,N,N,N 
DIASTAT,DIAZEPAM,N,N,N,N 
DIASTAT ACUDIAL,DIAZEPAM,N,N,N,N 
DIAZEPAM,DIAZEPAM,N,N,N,N 
DIBENZYLINE,PHENOXYBENZAMINE HCL,N,N,N,N 
DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,N,N,N,N 
DICLOFENAC SODIUM,DICLOFENAC SODIUM,N,N,N,N 
DICLOFENAC SODIUM ER,DICLOFENAC SODIUM,N,N,N,N 
DICLOFENAC SODIUM-MISOPROSTOL,DICLOFENAC SODIUM/MISOPROSTOL,N,N,N,N 
DICLOXACILLIN SODIUM,DICLOXACILLIN SODIUM,N,Y,N,N 
DICYCLOMINE HCL,DICYCLOMINE HCL,N,N,N,N 
DIDANOSINE,DIDANOSINE,N,N,N,N 
DIETHYLPROPION HCL ER,DIETHYLPROPION HCL,N,N,N,N 
DIFFERIN,ADAPALENE,N,N,N,N 
DIFICID,FIDAXOMICIN,N,Y,N,N 
DIFLORASONE DIACETATE,DIFLORASONE DIACETATE,N,N,N,N 
DIFLUCAN,FLUCONAZOLE,N,N,N,N 
DIFLUNISAL,DIFLUNISAL,N,N,N,N 
DIGITEK,DIGOXIN,N,N,Y,N 
DIGOX,DIGOXIN,N,N,Y,N 
DIGOXIN,DIGOXIN,N,N,Y,N 
DIHYDROCODEIN-ACETAMINOPH-CAFF,DHCODEINE BT/ACETAMINOPHN/CAFF,Y,N,N,N 
DIHYDROERGOTAMINE MESYLATE,DIHYDROERGOTAMINE MESYLATE,N,N,N,N 
DILANTIN,PHENYTOIN,N,N,N,N 
DILANTIN,PHENYTOIN SODIUM EXTENDED,N,N,N,N 
DILANTIN-125,PHENYTOIN,N,N,N,N 
DILATRATE-SR,ISOSORBIDE DINITRATE,N,N,N,N 
DILAUDID,HYDROMORPHONE HCL,Y,N,N,N 
DILAUDID,HYDROMORPHONE HCL/PF,Y,N,N,N 
DILAUDID-HP,HYDROMORPHONE HCL/PF,Y,N,N,N 
DILT-CD,DILTIAZEM HCL,N,N,N,N 
DILT-XR,DILTIAZEM HCL,N,N,N,N 
DILTIAZEM 12HR ER,DILTIAZEM HCL,N,N,N,N 
DILTIAZEM 24HR CD,DILTIAZEM HCL,N,N,N,N 
DILTIAZEM 24HR ER,DILTIAZEM HCL,N,N,N,N 
DILTIAZEM ER,DILTIAZEM HCL,N,N,N,N 
DILTIAZEM HCL,DILTIAZEM HCL,N,N,N,N 
DILTZAC ER,DILTIAZEM HCL,N,N,N,N 
DIMENHYDRINATE,DIMENHYDRINATE,N,N,N,N 
DIOVAN,VALSARTAN,N,N,N,N 
DIOVAN HCT,VALSARTAN/HYDROCHLOROTHIAZIDE,N,N,N,N 
DIPENTUM,OLSALAZINE SODIUM,N,N,N,N 
DIPHENHYDRAMINE HCL,DIPHENHYDRAMINE HCL,N,N,Y,N 
DIPHENOXYLATE-ATROPINE,DIPHENOXYLATE HCL/ATROPINE,N,N,N,N 
DIPHTHERIA-TETANUS TOXOIDS-PED,"TETANUS,DIPHTHERIA TOXD PED/PF",N,N,N,N 
DIPROLENE,BETAMETHASONE/PROPYLENE GLYC,N,N,N,N 
DIPROLENE AF,BETAMETHASONE/PROPYLENE GLYC,N,N,N,N 
DIPYRIDAMOLE,DIPYRIDAMOLE,N,N,Y,N 
DISALCID,SALSALATE,N,N,N,N 
DISKETS,METHADONE HCL,Y,N,N,N 
DISOPYRAMIDE PHOSPHATE,DISOPYRAMIDE PHOSPHATE,N,N,Y,N 
DISULFIRAM,DISULFIRAM,N,N,N,N 
DITROPAN XL,OXYBUTYNIN CHLORIDE,N,N,N,N 
DIURIL,CHLOROTHIAZIDE,N,N,N,N 
DIVALPROEX SODIUM,DIVALPROEX SODIUM,N,N,N,N 
DIVALPROEX SODIUM ER,DIVALPROEX SODIUM,N,N,N,N 
DIVIGEL,ESTRADIOL,N,N,Y,N 
DOBUTAMINE HCL,DOBUTAMINE HCL,N,N,N,N 
DOBUTAMINE HCL IN DEXTROSE,DOBUTAMINE HCL/D5W,N,N,N,N 
DOCETAXEL,DOCETAXEL,N,N,N,N 
DOLOPHINE HCL,METHADONE HCL,Y,N,N,N 
DONEPEZIL HCL,DONEPEZIL HCL,N,N,N,N 
DONEPEZIL HCL ODT,DONEPEZIL HCL,N,N,N,N 
DOPAMINE HCL,DOPAMINE HCL,N,N,N,N 
DORIBAX,DORIPENEM,N,Y,N,N 
DORYX,DOXYCYCLINE HYCLATE,N,Y,N,N 
DORZOLAMIDE HCL,DORZOLAMIDE HCL,N,N,N,N 
DORZOLAMIDE-TIMOLOL,DORZOLAMIDE HCL/TIMOLOL MALEAT,N,N,N,N 
DOVONEX,CALCIPOTRIENE,N,N,N,N 
DOXAZOSIN MESYLATE,DOXAZOSIN MESYLATE,N,N,N,N 
DOXEPIN HCL,DOXEPIN HCL,N,N,Y,N 
DOXERCALCIFEROL,DOXERCALCIFEROL,N,N,N,N 
DOXIL,DOXORUBICIN HCL PEG-LIPOSOMAL,N,N,N,N 
DOXORUBICIN HCL,DOXORUBICIN HCL,N,N,N,N 
DOXORUBICIN HCL LIPOSOME,DOXORUBICIN HCL PEG-LIPOSOMAL,N,N,N,N 
DOXY 100,DOXYCYCLINE HYCLATE,N,Y,N,N 
DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,N,Y,N,N 
DOXYCYCLINE IR-DR,DOXYCYCLINE MONOHYDRATE,N,N,N,N 
DOXYCYCLINE MONOHYDRATE,DOXYCYCLINE MONOHYDRATE,N,Y,N,N 
DRITHOCREME HP,ANTHRALIN,N,N,N,N 
DRONABINOL,DRONABINOL,N,N,N,N 
DROSPIRENONE-ETHINYL ESTRADIOL,ETHINYL ESTRADIOL/DROSPIRENONE,N,N,N,N 
DROXIA,HYDROXYUREA,N,N,N,N 
DUAC,CLINDAMYCIN PHOS/BENZOYL PEROX,N,N,N,N 
DUAVEE,"ESTROGENS,CONJ/BAZEDOXIFENE",N,N,Y,N 
DUET DHA 400,PNV106/IRON/FA/OM3/DHA/EPA,N,N,N,N 
DUET DHA BALANCED,PNV117/IRON/FA/OM3/DHA/EPA,N,N,N,N 
DUETACT,PIOGLITAZONE HCL/GLIMEPIRIDE,N,N,N,N 
DUEXIS,IBUPROFEN/FAMOTIDINE,N,N,N,N 
DULERA,MOMETASONE/FORMOTEROL,N,N,N,N 
DULOXETINE HCL,DULOXETINE HCL,N,N,N,N 
DUONEB,IPRATROPIUM/ALBUTEROL SULFATE,N,N,N,N 
DURAGESIC,FENTANYL,Y,N,N,N 
DURAMORPH,MORPHINE SULFATE/PF,Y,N,N,N 
DUREZOL,DIFLUPREDNATE,N,N,N,N 
DUTASTERIDE,DUTASTERIDE,N,N,N,N 
DUTASTERIDE-TAMSULOSIN,DUTASTERIDE/TAMSULOSIN HCL,N,N,N,N 
DUTOPROL,METOPROLOL SUCCINATE/HCTZ,N,N,N,N 
DYAZIDE,TRIAMTERENE/HYDROCHLOROTHIAZID,N,N,N,N 
DYMISTA,AZELASTINE/FLUTICASONE,N,N,N,N 
DYRENIUM,TRIAMTERENE,N,N,N,N 
DYSPORT,ABOBOTULINUMTOXINA,N,N,N,N 
E.E.S. 200,ERYTHROMYCIN ETHYLSUCCINATE,N,Y,N,N 
E.E.S. 400,ERYTHROMYCIN ETHYLSUCCINATE,N,Y,N,N 
EASY COMFORT INSULIN SYRINGE,"SYRING W-NDL,DISP,INSUL,0.5 ML",N,N,N,N 
EASY COMFORT INSULIN SYRINGE,"SYRINGE AND NEEDLE,INSULIN,1ML",N,N,N,N 
EASY COMFORT PEN NEEDLES,"PEN NEEDLE, DIABETIC",N,N,N,N 
EASY TOUCH,"SYRING W-NDL,DISP,INSUL,0.3 ML",N,N,N,N 
EASY TOUCH,"SYRING W-NDL,DISP,INSUL,0.5 ML",N,N,N,N 
EASY TOUCH,"SYRINGE AND NEEDLE,INSULIN,1ML",N,N,N,N 
EASY TOUCH ALCOHOL PREP PADS,ALCOHOL ANTISEPTIC PADS,N,N,N,N 
EASY TOUCH INSULIN SAFETY,"SYRINGE,NEEDLE,INSULN,SAFE,1ML",N,N,N,N 
EASY TOUCH INSULIN SAFETY,"SYRINGE,NEEDLE,INSULN,SF 0.5ML",N,N,N,N 
EASY TOUCH INSULIN SYRINGE,"SYRING W-NDL,DISP,INSUL,0.3 ML",N,N,N,N 
EASY TOUCH INSULIN SYRINGE,"SYRING W-NDL,DISP,INSUL,0.5 ML",N,N,N,N 
EASY TOUCH INSULIN SYRINGE,"SYRINGE AND NEEDLE,INSULIN,1ML",N,N,N,N 
EASY TOUCH PEN NEEDLE,"PEN NEEDLE, DIABETIC",N,N,N,N 
EASY-TOUCH INSULIN SYRINGE,"SYRINGE AND NEEDLE,INSULIN,1ML",N,N,N,N 
EC-NAPROSYN,NAPROXEN,N,N,N,N 
ECLIPSE SYRINGE,"SYRINGE AND NEEDLE,INSULIN,1ML",N,N,N,N 
ECONAZOLE NITRATE,ECONAZOLE NITRATE,N,N,N,N 
ED-SPAZ,HYOSCYAMINE SULFATE,N,N,N,N 
EDARBI,AZILSARTAN MEDOXOMIL,N,N,N,N 
EDARBYCLOR,AZILSARTAN MED/CHLORTHALIDONE,N,N,N,N 
EDECRIN,ETHACRYNIC ACID,N,N,N,N 
EDLUAR,ZOLPIDEM TARTRATE,N,N,Y,N 
EDURANT,RILPIVIRINE HCL,N,N,N,N 
EFFER-K,POTASSIUM BICARBONATE/CIT AC,N,N,N,N 
EFFEXOR XR,VENLAFAXINE HCL,N,N,N,N 
EFFIENT,PRASUGREL HCL,N,N,N,N 
EFUDEX,FLUOROURACIL,N,N,N,N 
EGRIFTA,TESAMORELIN ACETATE,N,N,N,N 
ELAPRASE,IDURSULFASE,N,N,N,N 
ELDEPRYL,SELEGILINE HCL,N,N,N,N 
ELELYSO,TALIGLUCERASE ALFA,N,N,N,N 
ELENZAPATCH,LIDOCAINE HCL/MENTHOL,N,N,N,N 
ELESTAT,EPINASTINE HCL,N,N,N,N 
ELESTRIN,ESTRADIOL,N,N,Y,N 
ELIDEL,PIMECROLIMUS,N,N,N,N 
ELIGARD,LEUPROLIDE ACETATE,N,N,N,N 
ELIMITE,PERMETHRIN,N,N,N,N 
ELINEST,NORGESTREL-ETHINYL ESTRADIOL,N,N,N,N 
ELIPHOS,CALCIUM ACETATE,N,N,N,N 
ELIQUIS,APIXABAN,N,N,N,N 
ELITE-OB,"IRON,CARBONYL/FA/MULTIVIT-MIN",N,N,N,N 
ELIXOPHYLLIN,THEOPHYLLINE ANHYDROUS,N,N,N,N 
ELLA,ULIPRISTAL ACETATE,N,N,N,N 
ELLENCE,EPIRUBICIN HCL,N,N,N,N 
ELMIRON,PENTOSAN POLYSULFATE SODIUM,N,N,N,N 
ELOCON,MOMETASONE FUROATE,N,N,N,N 
EMADINE,EMEDASTINE DIFUMARATE,N,N,N,N 
EMBEDA,MORPHINE SULFATE/NALTREXONE,Y,N,N,N 
EMCYT,ESTRAMUSTINE PHOSPHATE SODIUM,N,N,N,N 
EMEND,APREPITANT,N,N,N,N 
EMEND,FOSAPREPITANT DIMEGLUMINE,N,N,N,N 
EMLA,LIDOCAINE/PRILOCAINE,N,N,N,N 
EMOQUETTE,DESOGESTREL-ETHINYL ESTRADIOL,N,N,N,N 
EMSAM,SELEGILINE,N,N,N,N 
EMTRIVA,EMTRICITABINE,N,N,N,N 
ENABLEX,DARIFENACIN HYDROBROMIDE,N,N,N,N 
ENALAPRIL MALEATE,ENALAPRIL MALEATE,N,N,N,N 
ENALAPRIL-HYDROCHLOROTHIAZIDE,ENALAPRIL/HYDROCHLOROTHIAZIDE,N,N,N,N 
ENALAPRILAT,ENALAPRILAT DIHYDRATE,N,N,N,N 
ENBRACE HR,PRENATAL #92/IRON/FA #8/PS-DHA,N,N,N,N 
ENBREL,ETANERCEPT,N,N,N,N 
ENDOCET,OXYCODONE HCL/ACETAMINOPHEN,Y,N,N,N 
ENDODAN,OXYCODONE HCL/ASPIRIN,Y,N,N,N 
ENDOMETRIN,"PROGESTERONE,MICRONIZED",N,N,N,N 
ENGERIX-B ADULT,HEPATITIS B VIRUS VACCINE/PF,N,N,N,N 
ENGERIX-B PEDIATRIC-ADOLESCENT,HEPATITIS B VIRUS VACCINE/PF,N,N,N,N 
ENJUVIA,"ESTROGENS,CONJ.,SYNTHETIC B",N,N,Y,N 
ENOXAPARIN SODIUM,ENOXAPARIN SODIUM,N,N,N,N 
ENPRESSE,LEVONORGESTREL-ETHIN ESTRADIOL,N,N,N,N 
ENSKYCE,DESOGESTREL-ETHINYL ESTRADIOL,N,N,N,N 
ENTACAPONE,ENTACAPONE,N,N,N,N 
ENTECAVIR,ENTECAVIR,N,N,N,N 
ENTOCORT EC,BUDESONIDE,N,N,N,N 
ENTRESTO,SACUBITRIL/VALSARTAN,N,N,N,N 
ENTYVIO,VEDOLIZUMAB,N,N,N,N 
ENULOSE,LACTULOSE,N,N,N,N 
EPANED,ENALAPRIL MALEATE,N,N,N,N 
EPIDUO,ADAPALENE/BENZOYL PEROXIDE,N,N,N,N 
EPIDUO FORTE,ADAPALENE/BENZOYL PEROXIDE,N,N,N,N 
EPIFOAM,HYDROCORTISONE/PRAMOXINE,N,N,N,N 
EPINASTINE HCL,EPINASTINE HCL,N,N,N,N 
EPINEPHRINE,EPINEPHRINE,N,N,N,N 
EPINEPHRINE,EPINEPHRINE HCL/PF,N,N,N,N 
EPIPEN 2-PAK,EPINEPHRINE,N,N,N,N 
EPIPEN JR 2-PAK,EPINEPHRINE,N,N,N,N 
EPIRUBICIN HCL,EPIRUBICIN HCL,N,N,N,N 
EPITOL,CARBAMAZEPINE,N,N,N,N 
EPIVIR,LAMIVUDINE,N,N,N,N 
EPIVIR HBV,LAMIVUDINE,N,N,N,N 
EPLERENONE,EPLERENONE,N,N,N,N 
EPOGEN,EPOETIN ALFA,N,N,N,N 
EPROSARTAN MESYLATE,EPROSARTAN MESYLATE,N,N,N,N 
EPZICOM,ABACAVIR SULFATE/LAMIVUDINE,N,N,N,N 
EQUETRO,CARBAMAZEPINE,N,N,N,N 
ERAXIS (WATER DILUENT),ANIDULAFUNGIN,N,N,N,N 
ERBITUX,CETUXIMAB,N,N,N,N 
ERGOLOID MESYLATES,ERGOLOID MESYLATES,N,N,Y,N 
ERIVEDGE,VISMODEGIB,N,N,N,N 
ERRIN,NORETHINDRONE,N,N,N,N 
ERTACZO,SERTACONAZOLE NITRATE,N,N,N,N 
ERY,ERYTHROMYCIN BASE/ETHANOL,N,N,N,N 
ERY-TAB,ERYTHROMYCIN BASE,N,Y,N,N 
ERYGEL,ERYTHROMYCIN BASE/ETHANOL,N,N,N,N 
ERYPED 200,ERYTHROMYCIN ETHYLSUCCINATE,N,Y,N,N 
ERYPED 400,ERYTHROMYCIN ETHYLSUCCINATE,N,Y,N,N 
ERYTHROCIN LACTOBIONATE,ERYTHROMYCIN LACTOBIONATE,N,Y,N,N 
ERYTHROCIN STEARATE,ERYTHROMYCIN STEARATE,N,Y,N,N 
ERYTHROMYCIN,ERYTHROMYCIN BASE,N,Y,N,N 
ERYTHROMYCIN,ERYTHROMYCIN BASE/ETHANOL,N,N,N,N 
ERYTHROMYCIN ETHYLSUCCINATE,ERYTHROMYCIN ETHYLSUCCINATE,N,Y,N,N 
ERYTHROMYCIN-BENZOYL PEROXIDE,ERYTHROMYCIN/BENZOYL PEROXIDE,N,N,N,N 
ESBRIET,PIRFENIDONE,N,N,N,N 
ESCAVITE,PEDI MULTIVIT #47/IRON/FLUORID,N,N,N,N 
ESCITALOPRAM OXALATE,ESCITALOPRAM OXALATE,N,N,N,N 
ESGIC,BUTALB/ACETAMINOPHEN/CAFFEINE,N,N,Y,N 
ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,N,N,N,N 
ESOMEPRAZOLE SODIUM,ESOMEPRAZOLE SODIUM,N,N,N,N 
ESOMEPRAZOLE STRONTIUM,ESOMEPRAZOLE STRONTIUM,N,N,N,N 
ESTARYLLA,NORGESTIMATE-ETHINYL ESTRADIOL,N,N,N,N 
ESTAZOLAM,ESTAZOLAM,N,N,N,N 
ESTRACE,ESTRADIOL,N,N,Y,N 
ESTRADIOL,ESTRADIOL,N,N,Y,N 
ESTRADIOL VALERATE,ESTRADIOL VALERATE,N,N,N,N 
ESTRADIOL-NORETHINDRONE ACETAT,ESTRADIOL/NORETHINDRONE ACET,N,N,Y,N 
ESTRING,ESTRADIOL,N,N,N,N 
ESTROPIPATE,ESTROPIPATE,N,N,Y,N 
ESTROSTEP FE,NORETHINDRONE-E.ESTRADIOL-IRON,N,N,N,N 
ESZOPICLONE,ESZOPICLONE,N,N,Y,N 
ETHAMBUTOL HCL,ETHAMBUTOL HCL,N,N,N,N 
ETHOSUXIMIDE,ETHOSUXIMIDE,N,N,N,N 
ETIDRONATE DISODIUM,ETIDRONATE DISODIUM,N,N,N,N 
ETODOLAC,ETODOLAC,N,N,N,N 
ETODOLAC ER,ETODOLAC,N,N,N,N 
ETOPOSIDE,ETOPOSIDE,N,N,N,N 
EURAX,CROTAMITON,N,N,N,N 
EVAMIST,ESTRADIOL,N,N,Y,N 
EVEKEO,AMPHETAMINE SULFATE,N,N,N,N 
EVISTA,RALOXIFENE HCL,N,N,N,N 
EVOCLIN,CLINDAMYCIN PHOSPHATE,N,N,N,N 
EVOTAZ,ATAZANAVIR SULFATE/COBICISTAT,N,N,N,N 
EVOXAC,CEVIMELINE HCL,N,N,N,N 
EVZIO,NALOXONE HCL,N,N,N,N 
EXALGO,HYDROMORPHONE HCL,Y,N,N,N 
EXEL INSULIN SYRINGE,"SYRING W-NDL,DISP,INSUL,0.5 ML",N,N,N,N 
EXELDERM,SULCONAZOLE NITRATE,N,N,N,N 
EXELON,RIVASTIGMINE,N,N,N,N 
EXELON,RIVASTIGMINE TARTRATE,N,N,N,N 
EXEMESTANE,EXEMESTANE,N,N,N,N 
EXFORGE,AMLODIPINE/VALSARTAN,N,N,N,N 
EXFORGE HCT,AMLODIPINE/VALSARTAN/HCTHIAZID,N,N,N,N 
EXJADE,DEFERASIROX,N,N,N,N 
EXTAVIA,INTERFERON BETA-1B,N,N,N,N 
EXTINA,KETOCONAZOLE,N,N,N,N 
EXTRA-VIRT PLUS DHA,PRENATAL #57/IRON/FA/DSS/DHA,N,N,N,N 
EYLEA,AFLIBERCEPT,N,N,N,N 
FABIOR,TAZAROTENE,N,N,N,N 
FABRAZYME,AGALSIDASE BETA,N,N,N,N 
FACTIVE,GEMIFLOXACIN MESYLATE,N,Y,N,N 
FALMINA,LEVONORGESTREL-ETHIN ESTRADIOL,N,N,N,N 
FAMCICLOVIR,FAMCICLOVIR,N,N,N,N 
FAMOTIDINE,FAMOTIDINE,N,N,N,N 
FAMOTIDINE,"FAMOTIDINE IN NACL,ISO-OSM/PF",N,N,N,N 
FAMOTIDINE,FAMOTIDINE/PF,N,N,N,N 
FAMVIR,FAMCICLOVIR,N,N,N,N 
FANAPT,ILOPERIDONE,N,N,N,Y 
FARESTON,TOREMIFENE CITRATE,N,N,N,N 
FARXIGA,DAPAGLIFLOZIN PROPANEDIOL,N,N,N,N 
FARYDAK,PANOBINOSTAT LACTATE,N,N,N,N 
FASLODEX,FULVESTRANT,N,N,N,N 
FAZACLO,CLOZAPINE,N,N,N,Y 
FE C PLUS,"IRON,CARBONYL/VIT C/VIT B12/FA",N,N,N,N 
FELBAMATE,FELBAMATE,N,N,N,N 
FELBATOL,FELBAMATE,N,N,N,N 
FELDENE,PIROXICAM,N,N,N,N 
FELODIPINE ER,FELODIPINE,N,N,N,N 
FEM PH,ACETIC ACID/OXYQUINOLINE,N,N,N,N 
FEMARA,LETROZOLE,N,N,N,N 
FEMCON FE,NORETH-ETHINYL ESTRADIOL/IRON,N,N,N,N 
FEMHRT,NORETHINDRONE AC-ETH ESTRADIOL,N,N,Y,N 
FEMRING,ESTRADIOL ACETATE,N,N,N,N 
FENOFIBRATE,FENOFIBRATE,N,N,N,N 
FENOFIBRATE,FENOFIBRATE NANOCRYSTALLIZED,N,N,N,N 
FENOFIBRATE,"FENOFIBRATE,MICRONIZED",N,N,N,N 
FENOFIBRIC ACID,FENOFIBRIC ACID,N,N,N,N 
FENOFIBRIC ACID,FENOFIBRIC ACID (CHOLINE),N,N,N,N 
FENOGLIDE,FENOFIBRATE,N,N,N,N 
FENOPROFEN CALCIUM,FENOPROFEN CALCIUM,N,N,N,N 
FENTANYL,FENTANYL,Y,N,N,N 
FENTANYL CITRATE,FENTANYL CITRATE,Y,N,N,N 
FENTANYL CITRATE,FENTANYL CITRATE/PF,N,N,N,N 
